Tick,Bandicoots,Invaders,Foxes,Grass_Health_Index,Total_Bandicoots_Eaten,Trap_Deaths,Old_Age_Deaths,Hunger_Deaths
0,200,0,197,837.61,12,6,0,0
1,189,0,187,805.87,22,20,6,0
2,194,0,178,809.49,31,32,8,0
3,193,0,166,798.77,34,40,14,2
4,184,0,159,798.46,43,53,19,3
5,172,0,149,796.7,49,65,27,4
6,165,0,143,792.4,54,77,29,5
7,163,0,129,791.36,57,86,35,9
8,158,0,123,794.33,60,96,39,10
9,153,0,120,796.56,62,103,41,11
10,153,0,112,791.23,63,108,47,14
11,147,0,105,790.23,66,117,51,16
12,149,0,97,792.76,67,125,53,18
13,140,0,91,794.66,69,134,55,22
14,134,0,82,797.89,69,144,61,26
15,126,0,69,802.5,69,155,68,30
16,127,0,63,806.09,70,164,71,32
17,125,0,54,809.58,70,174,73,35
18,125,0,47,812.79,70,181,74,37
19,119,0,45,815,71,187,75,38
20,117,0,33,818.5,72,197,79,41
21,116,0,30,823.99,73,204,80,42
22,112,0,28,826.17,74,212,80,44
23,112,0,26,826.45,74,216,80,45
24,113,0,23,831.52,74,220,80,47
25,109,0,15,833.22,75,226,84,49
26,108,0,13,836.52,75,231,85,50
27,106,0,13,834.86,75,236,86,50
28,111,0,12,840.29,75,239,86,50
29,114,0,12,840.99,75,241,86,50
30,112,0,10,846.78,75,245,88,50
31,110,0,8,851.83,76,247,89,51
32,102,0,8,853.39,77,257,89,51
33,101,0,7,854.54,77,260,90,52
34,103,0,5,860.33,77,262,91,53
35,103,0,5,864.82,77,263,91,53
36,100,0,4,867.05,77,269,92,53
37,96,0,4,867.11,77,273,93,53
38,90,0,4,869.35,77,282,93,54
39,92,0,3,872.72,77,285,93,55
40,92,0,2,875.51,77,286,93,56
41,88,0,2,876.17,77,292,94,56
42,86,0,2,879.68,77,295,96,56
43,84,0,2,883.82,77,299,97,56
44,85,0,2,884.96,77,302,98,56
45,76,0,2,882.57,77,309,99,57
46,72,0,2,890.39,77,316,99,57
47,70,0,2,897.83,77,319,100,57
48,68,0,2,904.08,77,320,101,57
49,62,0,2,907.03,77,325,102,57
50,62,0,2,912.15,77,327,102,57
51,64,0,2,917.78,77,329,102,57
52,67,0,2,921.27,77,329,103,57
53,68,0,2,923.31,77,331,103,57
54,67,0,2,927.21,77,333,103,57
55,62,0,2,933.07,77,339,103,57
56,61,0,1,939.27,77,341,103,58
57,61,0,0,944.41,77,341,103,59
58,61,0,0,948.86,77,341,104,59
59,58,0,0,952.72,77,345,104,59
60,57,0,0,956.95,77,346,104,59
61,58,0,0,963.61,77,347,104,59
62,57,0,0,967.93,77,351,104,59
63,59,0,0,972.82,77,353,104,59
64,58,0,0,976.32,77,355,104,59
65,60,0,0,980.94,77,356,104,59
66,62,0,0,985.95,77,356,105,59
67,63,0,0,992.36,77,358,105,59
68,63,0,0,996.81,77,361,105,59
69,62,0,0,1001.82,77,363,105,59
70,66,0,0,1006.85,77,365,105,59
71,61,0,0,1010.6,77,370,105,59
72,61,0,0,1015.94,77,372,105,59
73,62,0,0,1020.66,77,373,105,59
74,62,0,0,1025.9,77,374,105,59
75,65,0,0,1027.84,77,376,105,59
76,64,0,0,1031.15,77,380,106,59
77,65,0,0,1036.3,77,382,106,59
78,59,0,0,1039.92,77,389,106,59
79,60,0,0,1041.23,77,392,106,59
80,58,0,0,1046.46,77,394,106,59
81,60,0,0,1046.77,77,395,106,59
82,56,0,0,1049.93,77,400,106,59
83,51,0,0,1053.82,77,405,106,59
84,49,0,0,1058.43,77,408,106,59
85,50,0,0,1062.13,77,409,106,59
86,46,0,0,1067.45,77,413,106,59
87,46,0,0,1071.79,77,414,106,59
88,46,0,0,1077.83,77,416,106,59
89,41,0,0,1083.05,77,421,106,59
90,36,0,0,1086.16,77,427,106,59
91,32,0,0,1091.44,77,430,107,59
92,35,0,0,1097.51,77,430,107,59
93,32,0,0,1103.28,77,434,107,59
94,29,0,0,1107.88,77,437,107,59
95,28,0,0,1112.92,77,438,107,59
96,28,0,0,1122.1,77,440,107,59
97,27,0,0,1127.65,77,441,107,59
98,29,0,0,1134.39,77,441,107,60
99,29,0,0,1138.96,77,441,107,60
100,29,0,0,1145.41,77,441,107,60
101,32,0,0,1149.01,77,441,107,60
102,32,0,0,1152.36,77,443,107,60
103,32,0,0,1159.27,77,443,107,60
104,32,0,0,1165.2,77,445,107,60
105,31,0,0,1170.08,77,448,107,60
106,32,0,0,1178.74,77,448,107,60
107,32,0,0,1182.62,77,448,107,60
108,29,0,0,1185.85,77,451,107,60
109,28,0,0,1193.37,77,453,107,60
110,24,0,0,1198.98,77,457,107,60
111,23,0,0,1207.13,77,458,107,60
112,23,0,0,1213.27,77,458,107,60
113,23,0,0,1219.66,77,459,107,60
114,22,0,0,1225.81,77,461,107,60
115,21,0,0,1231.71,77,462,107,60
116,21,0,0,1237.92,77,463,107,60
117,21,0,0,1244.85,77,465,107,60
118,22,0,0,1248.93,77,466,107,60
119,22,0,0,1254.69,77,467,107,60
120,21,0,0,1260.61,77,468,107,60
121,21,0,0,1268.01,77,468,107,60
122,21,0,0,1275.12,77,469,107,60
123,22,0,0,1280.54,77,469,107,60
124,22,0,0,1285.17,77,469,107,60
125,21,0,0,1293.35,77,471,107,60
126,22,0,0,1297.93,77,471,107,60
127,24,0,0,1302.43,77,471,107,60
128,22,0,0,1308.13,77,473,107,60
129,21,0,0,1312.56,77,473,108,60
130,20,0,0,1316.47,77,474,108,60
131,20,0,0,1320.2,77,475,108,60
132,21,0,0,1323.66,77,475,108,60
133,22,0,0,1330.58,77,475,108,60
134,24,0,0,1334.02,77,475,108,60
135,24,0,0,1336.82,77,477,108,60
136,25,0,0,1342.28,77,477,109,60
137,22,0,0,1345.7,77,481,109,60
138,22,0,0,1349.58,77,481,109,60
139,23,0,0,1352.94,77,481,109,60
140,22,0,0,1355.8,77,482,109,60
141,22,0,0,1357.76,77,482,109,60
142,23,0,0,1360.31,77,482,109,60
143,25,0,0,1363.71,77,483,109,60
144,29,0,0,1367.2,77,483,109,60
145,27,0,0,1370.32,77,485,109,60
146,25,0,0,1372.71,77,488,109,60
147,25,0,0,1375.38,77,489,109,60
148,23,0,0,1376.54,77,491,109,60
149,21,0,0,1380.32,77,493,109,60
150,19,0,0,1384.29,77,495,109,60
151,19,0,0,1386.28,77,496,109,60
152,19,0,0,1388.69,77,496,109,60
153,21,0,0,1391.68,77,496,109,60
154,21,0,0,1393.41,77,496,109,60
155,19,0,0,1395.84,77,498,109,61
156,19,0,0,1398.7,77,499,109,61
157,18,0,0,1402.09,77,501,109,61
158,18,0,0,1406.05,77,502,109,61
159,16,0,0,1409.88,77,504,109,61
160,17,0,0,1411.42,77,504,109,61
161,16,0,0,1414.92,77,505,109,61
162,16,0,0,1417.25,77,506,109,61
163,14,0,0,1418.78,77,508,109,61
164,14,0,0,1422.64,77,509,109,61
165,13,0,0,1426.05,77,510,109,61
166,11,0,0,1428.04,77,512,109,61
167,11,0,0,1431.13,77,512,109,61
168,11,0,0,1434.04,77,512,109,61
169,10,0,0,1438.08,77,513,110,61
170,12,0,0,1442,77,513,110,61
171,11,0,0,1443.4,77,514,110,61
172,12,0,0,1445.57,77,514,110,61
173,13,0,0,1450.13,77,515,110,61
174,13,0,0,1454.58,77,515,110,61
175,12,0,0,1457.22,77,516,110,61
176,11,0,0,1460.8,77,517,110,61
177,11,0,0,1465.27,77,517,110,61
178,13,0,0,1468.47,77,518,110,61
179,13,0,0,1471.33,77,518,110,61
180,12,0,0,1474.01,77,519,110,61
181,11,0,0,1476.36,77,520,110,61
182,11,0,0,1479.89,77,520,110,61
183,13,0,0,1482.43,77,520,110,61
184,12,0,0,1484.29,77,522,110,61
185,11,0,0,1487.44,77,523,110,61
186,12,0,0,1490.49,77,523,110,61
187,13,0,0,1493.92,77,523,110,61
188,14,0,0,1496.23,77,524,110,61
189,14,0,0,1498.2,77,524,110,61
190,12,0,0,1499.11,77,526,110,61
191,12,0,0,1501.64,77,526,110,61
192,14,0,0,1503.79,77,526,110,61
193,13,0,0,1504.31,77,527,110,61
194,13,0,0,1504.95,77,527,110,61
195,14,0,0,1506.91,77,527,110,61
