filename,S,PT,Gr,PR,PM,BF,BG,BR,BH,BV,FR,FG,FH,FV,Tick,Bandicoots,Invaders,Foxes,Grass_Health_Index,Total_Bandicoots_Eaten,Trap_Deaths,Old_Age_Deaths,Hunger_Deaths,regime
Run_S1_PT0_Gr12_PR13_PM208_BF9_BG16_BR8_BH21_BV2.1_FR16_FG45_FH100_FV3.0_IF4_IG4_IR17_IH3_IV0.8.csv,1,0,12,13,208,9,16,8,21,2.1,16,45,100,3.0,999.0,0.0,0.0,0.0,446.0,645.0,0.0,207.0,1320.0,0
Run_S1_PT0_Gr48_PR16_PM163_BF5_BG7_BR10_BH15_BV1.0_FR19_FG49_FH81_FV1.1_IF4_IG19_IR12_IH37_IV2.3.csv,1,0,48,16,163,5,7,10,15,1.0,19,49,81,1.1,999.0,0.0,0.0,0.0,1785.34,5348.0,0.0,2093.0,9387.0,0
Run_S1_PT0_Gr49_PR13_PM226_BF6_BG6_BR16_BH80_BV0.2_FR21_FG35_FH42_FV1.8_IF7_IG1_IR19_IH58_IV0.1.csv,1,0,49,13,226,6,6,16,80,0.2,21,35,42,1.8,999.0,142.0,0.0,124.0,864.89,2853.0,0.0,1706.0,2965.0,2
Run_S1_PT100_Gr32_PR22_PM156_BF5_BG17_BR20_BH77_BV1.4_FR21_FG17_FH86_FV0.5_IF9_IG18_IR12_IH72_IV0.2.csv,1,100,32,22,156,5,17,20,77,1.4,21,17,86,0.5,999.0,0.0,0.0,0.0,1190.0,19.0,338.0,23.0,23.0,0
Run_S1_PT100_Gr47_PR20_PM200_BF6_BG16_BR13_BH97_BV0.7_FR26_FG19_FH93_FV0.4_IF6_IG12_IR14_IH81_IV1.1.csv,1,100,47,20,200,6,16,13,97,0.7,26,19,93,0.4,999.0,0.0,0.0,0.0,1748.0,16.0,368.0,17.0,8.0,0
Run_S1_PT100_Gr70_PR12_PM99_BF10_BG15_BR10_BH92_BV1.8_FR20_FG11_FH56_FV1.4_IF3_IG11_IR18_IH44_IV1.5.csv,1,100,70,12,99,10,15,10,92,1.8,20,11,56,1.4,999.0,0.0,0.0,0.0,2604.0,14.0,393.0,5.0,2.0,0
Run_S1_PT100_Gr82_PR17_PM162_BF4_BG8_BR10_BH60_BV0.4_FR19_FG43_FH95_FV2.7_IF8_IG15_IR16_IH80_IV2.9.csv,1,100,82,17,162,4,8,10,60,0.4,19,43,95,2.7,999.0,0.0,0.0,0.0,3051.0,13.0,435.0,2.0,0.0,0
Run_S1_PT10_Gr17_PR25_PM236_BF2_BG8_BR11_BH78_BV0.3_FR19_FG20_FH63_FV2.1_IF4_IG6_IR12_IH0_IV1.8.csv,1,10,17,25,236,2,8,11,78,0.3,19,20,63,2.1,999.0,604.0,0.0,0.0,171.61,3300.0,3849.0,616.0,10300.0,1
Run_S1_PT10_Gr41_PR16_PM128_BF7_BG16_BR11_BH92_BV2.7_FR25_FG31_FH66_FV0.5_IF8_IG13_IR18_IH4_IV0.4.csv,1,10,41,16,128,7,16,11,92,2.7,25,31,66,0.5,999.0,521.0,0.0,321.0,597.69,18131.0,19166.0,2778.0,9420.0,2
Run_S1_PT10_Gr47_PR19_PM197_BF7_BG8_BR16_BH70_BV0.2_FR17_FG28_FH99_FV0.7_IF5_IG12_IR14_IH90_IV2.9.csv,1,10,47,19,197,7,8,16,70,0.2,17,28,99,0.7,999.0,301.0,0.0,0.0,633.46,119.0,5969.0,963.0,1747.0,1
Run_S1_PT10_Gr65_PR8_PM215_BF10_BG17_BR16_BH82_BV1.7_FR26_FG49_FH30_FV1.5_IF6_IG6_IR9_IH99_IV2.4.csv,1,10,65,8,215,10,17,16,82,1.7,26,49,30,1.5,999.0,214.0,0.0,103.0,536.76,2882.0,8770.0,760.0,3621.0,2
Run_S1_PT10_Gr82_PR17_PM176_BF6_BG12_BR12_BH25_BV2.9_FR29_FG21_FH59_FV0.6_IF10_IG18_IR17_IH8_IV1.9.csv,1,10,82,17,176,6,12,12,25,2.9,29,21,59,0.6,999.0,995.0,0.0,472.0,306.45,50597.0,31502.0,3663.0,6153.0,2
Run_S1_PT10_Gr85_PR16_PM250_BF2_BG18_BR8_BH36_BV1.0_FR25_FG37_FH30_FV2.4_IF9_IG10_IR13_IH84_IV1.2.csv,1,10,85,16,250,2,18,8,36,1.0,25,37,30,2.4,999.0,0.0,0.0,0.0,3162.0,23986.0,18401.0,2164.0,20052.0,0
