filename,S,PT,Gr,PR,PM,BF,BG,BR,BH,BV,FR,FG,FH,FV,Tick,Bandicoots,Invaders,Foxes,Grass_Health_Index,Total_Bandicoots_Eaten,Trap_Deaths,Old_Age_Deaths,Hunger_Deaths,regime
Run_S10_PT10_Gr52_PR17_PM79_BF10_BG19_BR15_BH5_BV0.6_FR16_FG24_FH72_FV2.8_IF7_IG9_IR10_IH8_IV2.7.csv,10,10,52,17,79,10,19,15,5,0.6,16,24,72,2.8,999.0,627.0,0.0,761.0,790.9,23571.0,9380.0,2029.0,11793.0,2
Run_S10_PT10_Gr53_PR18_PM116_BF8_BG19_BR13_BH11_BV2.9_FR14_FG37_FH16_FV0.4_IF8_IG5_IR12_IH44_IV2.1.csv,10,10,53,18,116,8,19,13,11,2.9,14,37,16,0.4,999.0,367.0,0.0,886.0,1083.36,25186.0,9568.0,2555.0,35450.0,2
Run_S10_PT10_Gr63_PR16_PM58_BF4_BG19_BR14_BH18_BV1.3_FR24_FG37_FH20_FV1.7_IF9_IG5_IR15_IH85_IV2.6.csv,10,10,63,16,58,4,19,14,18,1.3,24,37,20,1.7,999.0,0.0,0.0,0.0,2344.0,3687.0,1545.0,808.0,1975.0,0
Run_S10_PT10_Gr65_PR21_PM56_BF7_BG20_BR10_BH1_BV0.8_FR19_FG28_FH34_FV1.0_IF5_IG14_IR11_IH31_IV0.4.csv,10,10,65,21,56,7,20,10,1,0.8,19,28,34,1.0,999.0,0.0,0.0,0.0,2418.0,5420.0,1661.0,446.0,3978.0,0
Run_S10_PT10_Gr72_PR13_PM199_BF6_BG15_BR12_BH5_BV2.4_FR25_FG36_FH12_FV1.4_IF2_IG7_IR17_IH82_IV0.2.csv,10,10,72,13,199,6,15,12,5,2.4,25,36,12,1.4,999.0,0.0,0.0,0.0,2679.0,5511.0,1270.0,1050.0,3535.0,0
Run_S10_PT10_Gr80_PR9_PM239_BF5_BG5_BR9_BH4_BV0.4_FR28_FG15_FH67_FV2.4_IF9_IG15_IR18_IH43_IV1.9.csv,10,10,80,9,239,5,5,9,4,0.4,28,15,67,2.4,999.0,629.0,0.0,0.0,208.53,2034.0,2069.0,2593.0,7814.0,1
Run_S10_PT10_Gr86_PR12_PM161_BF4_BG16_BR10_BH10_BV2.9_FR16_FG34_FH90_FV2.3_IF7_IG1_IR14_IH76_IV1.8.csv,10,10,86,12,161,4,16,10,10,2.9,16,34,90,2.3,999.0,1623.0,0.0,799.0,954.19,59070.0,46750.0,2327.0,50311.0,2
Run_S10_PT10_Gr86_PR5_PM120_BF9_BG6_BR19_BH1_BV1.2_FR15_FG23_FH32_FV1.4_IF7_IG17_IR15_IH5_IV0.6.csv,10,10,86,5,120,9,6,19,1,1.2,15,23,32,1.4,999.0,140.0,0.0,0.0,796.21,302.0,333.0,1400.0,972.0,1
Run_S10_PT10_Gr86_PR6_PM192_BF2_BG10_BR9_BH18_BV0.3_FR19_FG21_FH93_FV2.8_IF7_IG10_IR12_IH59_IV2.6.csv,10,10,86,6,192,2,10,9,18,0.3,19,21,93,2.8,999.0,2216.0,0.0,0.0,44.56,10961.0,32003.0,2421.0,48440.0,1
Run_S10_PT10_Gr88_PR24_PM63_BF8_BG17_BR17_BH3_BV2.7_FR29_FG27_FH35_FV0.1_IF5_IG2_IR9_IH92_IV1.1.csv,10,10,88,24,63,8,17,17,3,2.7,29,27,35,0.1,999.0,1097.0,0.0,206.0,1663.24,59471.0,20263.0,6147.0,9508.0,2
